Id,Predicted
275-438,False
312-740,False
192-603,False
321-538,False
24-774,False
14-888,False
169-582,False
105-312,False
232-450,False
421-813,False
54-313,False
68-209,False
192-714,False
43-140,False
469-581,False
603-902,False
423-445,False
14-292,False
643-780,False
778-924,False
170-261,False
734-901,False
242-497,False
137-638,False
382-497,False
412-486,False
409-480,False
670-875,False
476-750,False
130-815,False
274-447,False
679-815,False
229-447,False
80-853,False
667-836,False
267-416,False
312-450,False
449-819,False
468-732,False
7-698,False
446-768,False
80-751,False
66-599,False
68-683,False
764-836,False
416-469,False
170-607,False
31-415,False
7-160,False
682-692,False
257-861,False
107-189,False
496-683,False
324-462,False
688-707,False
267-358,False
267-324,False
711-737,False
26-834,False
591-839,False
61-661,False
683-707,False
65-161,False
7-80,False
833-922,False
393-902,False
24-683,False
665-677,False
76-576,False
133-378,False
452-610,False
197-355,False
76-677,False
24-444,False
292-294,False
202-301,False
511-734,False
307-638,False
326-364,False
68-579,False
277-822,False
247-924,False
61-169,False
428-545,False
36-395,False
450-551,False
48-563,False
336-515,False
458-545,False
326-442,False
487-562,False
909-938,False
209-830,False
424-804,False
327-580,False
321-662,False
208-910,False
151-854,False
71-923,False
358-496,False
341-918,False
285-507,False
202-390,False
257-422,False
160-246,False
126-722,False
627-693,False
21-421,False
59-772,False
103-358,False
613-665,False
7-891,False
751-824,False
774-859,False
812-839,False
401-819,False
595-901,False
246-577,False
364-409,False
638-659,False
242-378,False
15-285,False
205-665,False
43-206,False
139-379,False
338-376,False
643-677,False
503-507,False
734-833,False
119-226,False
379-775,False
118-368,False
294-941,False
696-698,False
403-412,False
2-235,False
468-551,False
36-865,False
170-401,False
351-582,False
497-551,False
78-693,False
344-902,False
235-751,False
65-653,False
31-688,False
205-662,False
780-842,False
101-140,False
584-709,False
219-557,False
17-764,False
110-814,False
421-649,False
80-192,False
327-591,False
368-739,False
76-582,False
95-873,False
130-843,False
522-630,False
854-934,False
27-750,False
233-419,False
14-313,False
61-112,False
